GSM_IDENTIFIER	TYPE	TYPE_SIMPLIFIED
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_G03_436510.CEL	Breast cancer	Breast cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C07_454622.CEL	Breast cancer	Breast cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B03_419876.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C01_383628.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A08_474686.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E06_383684.CEL	Breast cancer	Breast cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H09_296174.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A12_474732.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_E11_523470.CEL	Breast cancer	Breast cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H12_436432.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_G09_383594.CEL	Breast cancer	Breast cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F09_419786.CEL	Breast cancer	Breast cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_B01_436616.CEL	Breast cancer	Breast cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C04_454614.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_H05_523478.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E05_383680.CEL	Breast cancer	Breast cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A02_257600.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D02_523558.CEL	Breast cancer	Breast cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G10_454732.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B07_474632.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C09_383596.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E02_383668.CEL	Breast cancer	Breast cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_A05_295998.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D09_523496.CEL	Breast cancer	Breast cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H01_436482.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C02_383640.CEL	Breast cancer	Breast cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H10_241036.CEL	Breast cancer	Breast cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H12_454750.CEL	Breast cancer	Breast cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_A12_698746.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A07_474600.CEL	Breast cancer	Breast cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D05_240930.CEL	Breast cancer	Breast cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B11_240894.CEL	Breast cancer	Breast cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G05_454738.CEL	Breast cancer	Breast cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A09_257614.CEL	Breast cancer	Breast cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A11_257618.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D08_523486.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D06_383700.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C08_383600.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_B02_383772.CEL	Breast cancer	Breast cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F08_419788.CEL	Breast cancer	Breast cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E12_383706.CEL	Breast cancer	Breast cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_A01_241042.CEL	Breast cancer	Breast cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F09_436452.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A05_523512.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H09_474734.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_C01_523502.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H01_474610.CEL	Breast cancer	Breast cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_D10_523634.CEL	Breast cancer	Breast cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F10_436454.CEL	Breast cancer	Breast cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_H08_419840.CEL	Breast cancer	Breast cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_E07_296098.CEL	Breast cancer	Breast cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A04_767910.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_F02_474714.CEL	Breast cancer	Breast cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_E11_436480.CEL	Breast cancer	Breast cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_A01_698800.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_A09_474590.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D01_474640.CEL	Breast cancer	Breast cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H08_296172.CEL	Breast cancer	Breast cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_B05_474706.CEL	Breast cancer	Breast cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_D09_587598.CEL	CNS cancer	CNS cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E10_383698.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_A11_296010.CEL	CNS cancer	CNS cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_E05_257702.CEL	CNS cancer	CNS cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_E03_241142.CEL	CNS cancer	CNS cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_F05_383662.CEL	CNS cancer	CNS cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C10_419732.CEL	CNS cancer	CNS cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B10_419862.CEL	CNS cancer	CNS cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_F10_383682.CEL	CNS cancer	CNS cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_E10_419776.CEL	CNS cancer	CNS cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_F07_241174.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D04_767836.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_B02_296016.CEL	CNS cancer	CNS cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C01_436536.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C06_296048.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_B07_296026.CEL	CNS cancer	CNS cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_C09_779744.CEL	CNS cancer	CNS cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_F01_383710.CEL	CNS cancer	CNS cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_H09_419838.CEL	CNS cancer	CNS cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H01_454722.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C05_767940.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_B11_296034.CEL	CNS cancer	CNS cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_B10_241084.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C04_767784.CEL	CNS cancer	CNS cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F06_240980.CEL	CNS cancer	CNS cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_B09_419856.CEL	CNS cancer	CNS cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_G08_436492.CEL	CNS cancer	CNS cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_B05_587708.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A02_767870.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C08_296052.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C09_767926.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B06_767788.CEL	CNS cancer	CNS cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_A06_587710.CEL	CNS cancer	CNS cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_B01_454588.CEL	CNS cancer	CNS cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_F10_241180.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_A06_767896.CEL	CNS cancer	CNS cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F10_240988.CEL	CNS cancer	CNS cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D12_383660.CEL	CNS cancer	CNS cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H02_241020.CEL	CNS cancer	CNS cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_G05_436498.CEL	CNS cancer	CNS cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D02_698892.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_E02_296088.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_D06_296072.CEL	CNS cancer	CNS cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_E09_587618.CEL	CNS cancer	CNS cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_D10_454654.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B11_767924.CEL	CNS cancer	CNS cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A02_240852.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D03_767888.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_C06_767884.CEL	CNS cancer	CNS cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_C03_257650.CEL	CNS cancer	CNS cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_H11_569412.CEL	CNS cancer	CNS cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_B07_587548.CEL	CNS cancer	CNS cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_G01_454710.CEL	CNS cancer	CNS cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_G08_698804.CEL	CNS cancer	CNS cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_A11_779692.CEL	CNS cancer	CNS cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C07_436540.CEL	CNS cancer	CNS cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B08_779706.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B04_767848.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C10_296056.CEL	CNS cancer	CNS cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_D08_587662.CEL	CNS cancer	CNS cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F12_419810.CEL	CNS cancer	CNS cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_A06_454776.CEL	CNS cancer	CNS cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_B06_296024.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_D11_767886.CEL	CNS cancer	CNS cancer
RILLS_p_AchillesExp_Mar2011_1_HG.U133_Plus_2_B12_767954.CEL	CNS cancer	CNS cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_B07_523626.CEL	Endocrine cancer	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_H10_474614.CEL	Endocrine cancer	Endocrine cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_B12_523504.CEL	Endocrine cancer	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_G05_474666.CEL	Endocrine cancer	Endocrine cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_C11_569508.CEL	Endocrine cancer	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_E01_474604.CEL	Endocrine cancer	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_E12_474674.CEL	Endocrine cancer	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_D05_474716.CEL	Endocrine cancer	Endocrine cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B01_698818.CEL	Endocrine cancer	Endocrine cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_A01_257598.CEL	Endocrine cancer	Endocrine cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_G09_474750.CEL	Endocrine cancer	Endocrine cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_C09_569492.CEL	Endocrine cancer	Endocrine cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D04_240928.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_G12_296156.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H01_296158.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_G04_419802.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H06_296168.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C12_436526.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_A02_587604.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_G05_296142.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_B07_383738.CEL	Gastrointestinal cancer	Gastrointestinal cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_C08_257660.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D09_383712.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_A08_698824.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D06_698874.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_D12_569532.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_E06_698900.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_B05_241074.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_D04_587678.CEL	Gastrointestinal cancer	Gastrointestinal cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_C11_454630.CEL	Gastrointestinal cancer	Gastrointestinal cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_D04_454640.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_F01_419770.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_A10_587668.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_D06_587666.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_H05_296166.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B05_779738.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C04_419704.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B03_698798.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C02_419716.CEL	Gastrointestinal cancer	Gastrointestinal cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_H06_454716.CEL	Gastrointestinal cancer	Gastrointestinal cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_E08_257708.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F12_436508.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_H10_383770.CEL	Gastrointestinal cancer	Gastrointestinal cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B12_240896.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_G07_383650.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_D01_383612.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_B10_296032.CEL	Gastrointestinal cancer	Gastrointestinal cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H07_241030.CEL	Gastrointestinal cancer	Gastrointestinal cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B09_240890.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_G06_383654.CEL	Gastrointestinal cancer	Gastrointestinal cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_B08_257636.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_G05_241194.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_C03_383636.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_H11_383774.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_A01_295990.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D08_698918.CEL	Gastrointestinal cancer	Gastrointestinal cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_F02_523546.CEL	Gastrointestinal cancer	Gastrointestinal cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_C10_523636.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_H04_419832.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_C03_698748.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_C09_698870.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_C10_698866.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_A08_587590.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_E07_436554.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_E02_436548.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_F08_296124.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B05_698754.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_D05_587620.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_C08_779780.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_D08_296076.CEL	Gastrointestinal cancer	Gastrointestinal cancer
MAKER_p_NCLE_RNA7_HG.U133_Plus_2_F02_454688.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_G11_698762.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_C12_296060.CEL	Gastrointestinal cancer	Gastrointestinal cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_E11_257714.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_C04_587610.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F04_698822.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E07_383688.CEL	Gastrointestinal cancer	Gastrointestinal cancer
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A09_240866.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_E11_383702.CEL	Gastrointestinal cancer	Gastrointestinal cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A12_523608.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_F02_569502.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_G10_383606.CEL	Gastrointestinal cancer	Gastrointestinal cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_C03_474728.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_E10_587624.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_B06_779782.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_C05_436544.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_C03_587614.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_E02_698862.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_E07_419756.CEL	Gastrointestinal cancer	Gastrointestinal cancer
SILOS_p_NCLE_RNA9_HG.U133_Plus_2_A08_523516.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_F03_587732.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F06_698812.CEL	Gastrointestinal cancer	Gastrointestinal cancer
NIECE_p_NCLE_RNA3_HG.U133_Plus_2_D11_296082.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F08_698928.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_H09_436440.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_C06_698904.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_A02_436580.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BUNDS_p_NCLE_RNA5_HG.U133_Plus_2_C09_419726.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_H03_383618.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_B11_698790.CEL	Gastrointestinal cancer	Gastrointestinal cancer
PARES_p_NCLE_RNA_Redo_HG.U133_Plus_2_B02_257624.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_A05_698772.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_C05_587588.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_C01_587674.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GAZER_p_NCLE_Expr_P13_HG.U133_Plus_2_C06_779678.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F07_698902.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_F10_698850.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BITTS_p_NCLE_RNA12_HG.U133_Plus_2_D05_698858.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CASED_p_NCLE_RNA4_HG.U133_Plus_2_A06_383730.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_F01_569580.CEL	Gastrointestinal cancer	Gastrointestinal cancer
AGENT_p_NCLE_RNA6_HG.U133_Plus_2_F06_436462.CEL	Gastrointestinal cancer	Gastrointestinal cancer
GILDS_p_NCLE_RNA11_Redo_HG.U133_Plus_2_A09_587692.CEL	Gastrointestinal cancer	Gastrointestinal cancer
CRAZY_p_NCLE_RNA10_HG.U133_Plus_2_E01_569420.CEL	Gastrointestinal cancer	Gastrointestinal cancer
WATCH_p_NCLE_RNA8_HG.U133_Plus_2_G07_474626.CEL	Gastrointestinal cancer	Gastrointestinal cancer
BRAKE_p_NCLE_RNA2_HG.U133_Plus_2_H09_241226.CEL	Gastrointestinal cancer	Gastrointestinal cancer
